"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"07/13/2009","52","PM2.5","United Avenue","13-121-0055","AQS"
"07/14/2009","101","Ozone","Douglasville","13-097-0004","AQS"
"07/15/2009","100","Ozone","United Avenue","13-121-0055","AQS"
"07/16/2009","79","PM2.5","United Avenue","13-121-0055","AQS"
"07/17/2009","63","PM2.5","United Avenue","13-121-0055","AQS"
"07/18/2009","67","PM2.5","Gwinnett","13-135-0002","AQS"
"07/19/2009","57","PM2.5","United Avenue","13-121-0055","AQS"
"07/20/2009","64","Ozone","McDonough","13-151-0002","AQS"
"07/21/2009","172","Ozone","United Avenue","13-121-0055","AQS"
"07/22/2009","74","PM2.5","United Avenue","13-121-0055","AQS"
"07/23/2009","78","PM2.5","Gwinnett","13-135-0002","AQS"
"07/24/2009","122","Ozone","McDonough","13-151-0002","AQS"
"07/25/2009","84","Ozone","Conyers","13-247-0001","AQS"
"07/26/2009","86","PM2.5","United Avenue","13-121-0055","AQS"
"07/27/2009","71","Ozone","Gwinnett","13-135-0002","AQS"
"07/28/2009","62","PM2.5","United Avenue","13-121-0055","AQS"
"07/29/2009","58","PM2.5","United Avenue","13-121-0055","AQS"
"07/30/2009","66","PM2.5","United Avenue","13-121-0055","AQS"
"07/31/2009","57","PM2.5","United Avenue","13-121-0055","AQS"
"08/01/2009","63","PM2.5","United Avenue","13-121-0055","AQS"
"08/02/2009","56","PM2.5","United Avenue","13-121-0055","AQS"
"08/03/2009","67","PM2.5","United Avenue","13-121-0055","AQS"
"08/04/2009","77","PM2.5","United Avenue","13-121-0055","AQS"
"08/05/2009","72","PM2.5","South DeKalb","13-089-0002","AQS"
"08/06/2009","136","Ozone","McDonough","13-151-0002","AQS"
"08/07/2009","156","Ozone","Kennesaw","13-067-0003","AQS"
"08/08/2009","119","Ozone","Kennesaw","13-067-0003","AQS"
"08/09/2009","112","Ozone","United Avenue","13-121-0055","AQS"
"08/10/2009","71","PM2.5","United Avenue","13-121-0055","AQS"
"08/11/2009","70","PM2.5","Yorkville, King Farm","13-223-0003","AQS"
"08/12/2009","53","PM2.5","United Avenue","13-121-0055","AQS"
"08/13/2009","101","Ozone","Douglasville","13-097-0004","AQS"
"08/14/2009","97","Ozone","Douglasville","13-097-0004","AQS"
"08/15/2009","67","Ozone","Yorkville, King Farm","13-223-0003","AQS"
"08/16/2009","56","PM2.5","United Avenue","13-121-0055","AQS"
"08/17/2009","56","PM2.5","Gwinnett","13-135-0002","AQS"
"08/18/2009","51","PM2.5","United Avenue","13-121-0055","AQS"
"08/19/2009","53","PM2.5","United Avenue","13-121-0055","AQS"
"08/20/2009","53","PM2.5","United Avenue","13-121-0055","AQS"
"08/21/2009","52","PM2.5","United Avenue","13-121-0055","AQS"
"08/22/2009","52","PM2.5","United Avenue","13-121-0055","AQS"
"08/23/2009","61","PM2.5","United Avenue","13-121-0055","AQS"
"08/24/2009","105","Ozone","Douglasville","13-097-0004","AQS"
"08/25/2009","77","PM2.5","United Avenue","13-121-0055","AQS"
"08/26/2009","69","PM2.5","United Avenue","13-121-0055","AQS"
"08/27/2009","58","PM2.5","United Avenue","13-121-0055","AQS"
"08/28/2009","38","Ozone","Georgia Station","13-231-9991","AQS"
"08/29/2009","63","PM2.5","United Avenue","13-121-0055","AQS"
"08/30/2009","70","PM2.5","United Avenue","13-121-0055","AQS"
"08/31/2009","63","PM2.5","Newnan","13-077-0002","AQS"
"09/01/2009","63","PM2.5","United Avenue","13-121-0055","AQS"
"09/02/2009","67","Ozone","Douglasville","13-097-0004","AQS"
"09/03/2009","58","PM2.5","United Avenue","13-121-0055","AQS"
"09/04/2009","93","Ozone","Douglasville","13-097-0004","AQS"
"09/05/2009","76","PM2.5","United Avenue","13-121-0055","AQS"
"09/06/2009","77","PM2.5","United Avenue","13-121-0055","AQS"
"09/07/2009","86","PM2.5","United Avenue","13-121-0055","AQS"
